"Term";"Annotated";"Significant.hy";"Significant.t";"Significant";"GO_ID";"num_N";"num_m";"num_n";"num_k";"num_x";"pval";"pval.bonf";"pval.BH";"rif.bonf.our";"rif.bonf.t";"rif.bonf.sam";"PVAL";"group"
"transmembrane receptor protein tyrosine kinase signaling pathway";587;72;166;303;"GO:0007169";18479341;317619;18161722;39070;3996;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"cell death";1947;182;429;957;"GO:0008219";18479341;317619;18161722;449245;23393;0;0;0;0;0;1;"<1.11E-16";"sam"
"cell-substrate junction organization";101;13;26;70;"GO:0150115";18479341;317619;18161722;513;25;4,77743877589901e-06;0,00151922553073589;1,3811141188508e-05;0;0;1;"1.52E-03";"sam"
"cellular response to peptide";340;43;99;193;"GO:1901653";18479341;317619;18161722;243896;5913;3,70840795354817e-143;1,17927372922832e-140;1,73422607239458e-142;0;0;1;"<1.11E-16";"sam"
"cellular response to stress";1772;167;318;896;"GO:0033554";18479341;317619;18161722;96113;1823;1,46592296692654e-05;0,00466163503482639;4,12534073878442e-05;0;0;1;"4.66E-03";"sam"
"epithelial cell migration";287;35;73;169;"GO:0010631";18479341;317619;18161722;44780;3899;0;0;0;0;0;1;"<1.11E-16";"sam"
"epithelium migration";289;35;74;171;"GO:0090132";18479341;317619;18161722;10832;312;1,23635672767048e-17;3,93161439399214e-15;3,93161439399214e-17;0;0;1;"3.93E-15";"sam"
"intracellular signal transduction";2494;233;550;1213;"GO:0035556";18479341;317619;18161722;117969;2963;1,57686755611109e-86;5,01443882843326e-84;6,86909428552501e-86;0;0;1;"<1.11E-16";"sam"
"protein metabolic process";4953;397;851;2327;"GO:0019538";18479341;317619;18161722;2991139;84430;0;0;0;0;0;1;"<1.11E-16";"sam"
"regulation of catalytic activity";2260;202;486;1102;"GO:0050790";18479341;317619;18161722;12889;291;3,83272301607952e-06;0,00121880591911329;1,11817056799384e-05;0;0;1;"1.22E-03";"sam"
"regulation of molecular function";2875;258;625;1389;"GO:0065009";18479341;317619;18161722;380792;14371;0;0;0;0;0;1;"<1.11E-16";"sam"
"tissue migration";294;37;77;174;"GO:0090130";18479341;317619;18161722;72777;4318;0;0;0;0;0;1;"<1.11E-16";"sam"
"cell communication";5681;510;1342;2603;"GO:0007154";18479341;317619;18161722;62433;1653;5,03065542691466e-62;1,59974842575886e-59;2,05095952020367e-61;1;1;0;"<1.11E-16";"hy-test/mod t-test"
"cell population proliferation";1835;195;473;874;"GO:0008283";18479341;317619;18161722;18982;1287;0;0;0;1;1;0;"<1.11E-16";"hy-test/mod t-test"
"enzyme linked receptor protein signaling pathway";900;109;259;457;"GO:0007167";18479341;317619;18161722;9003;485;2,79536467521559e-102;8,88925966718556e-100;1,25200840382895e-101;1;1;0;"<1.11E-16";"hy-test/mod t-test"
"mitotic nuclear division";279;70;88;161;"GO:0140014";18479341;317619;18161722;14341;591;4,87522674449312e-79;1,55032210474881e-76;2,09502987128218e-78;1;1;0;"<1.11E-16";"hy-test/mod t-test"
"nuclear division";421;89;126;223;"GO:0000280";18479341;317619;18161722;105336;3764;0;0;0;1;1;0;"<1.11E-16";"hy-test/mod t-test"
"regulation of phosphorylation";1188;138;306;591;"GO:0042325";18479341;317619;18161722;90724;3918;0;0;0;1;1;0;"<1.11E-16";"hy-test/mod t-test"
"regulation of protein phosphorylation";1046;123;270;522;"GO:0001932";18479341;317619;18161722;88320;3829;0;0;0;1;1;0;"<1.11E-16";"hy-test/mod t-test"
"signaling";5633;509;1337;2589;"GO:0023052";18479341;317619;18161722;889114;30799;0;0;0;1;1;0;"<1.11E-16";"hy-test/mod t-test"
"tissue development";1749;191;483;818;"GO:0009888";18479341;317619;18161722;382214;10924;0;0;0;1;1;0;"<1.11E-16";"hy-test/mod t-test"
"cell cycle";1625;224;367;821;"GO:0007049";18479341;317619;18161722;318953;18762;0;0;0;1;0;1;"<1.11E-16";"hy-test/sam"
"cell cycle phase transition";472;77;112;258;"GO:0044770";18479341;317619;18161722;6081;424;2,85051813358084e-125;9,06464766478707e-123;1,31371705286769e-124;1;0;1;"<1.11E-16";"hy-test/sam"
"cell cycle process";1092;177;259;576;"GO:0022402";18479341;317619;18161722;26059;875;5,88689145185296e-73;1,87203148168924e-70;2,43120971647953e-72;1;0;1;"<1.11E-16";"hy-test/sam"
"cellular component organization or biogenesis";5705;523;1172;2767;"GO:0071840";18479341;317619;18161722;57032;52666;0;0;0;1;0;1;"<1.11E-16";"hy-test/sam"
"mitotic cell cycle phase transition";385;67;96;217;"GO:0044772";18479341;317619;18161722;721;31;4,94391977808469e-06;0,00157216648943093;1,41636620669453e-05;1;0;1;"1.57E-03";"hy-test/sam"
"regulation of cell cycle";951;134;221;492;"GO:0051726";18479341;317619;18161722;97488;7302;0;0;0;1;0;1;"<1.11E-16";"hy-test/sam"
"regulation of cell cycle phase transition";346;59;86;196;"GO:1901987";18479341;317619;18161722;3154;266;3,00158749721231e-97;9,54504824113515e-95;1,3257011446021e-96;1;0;1;"<1.11E-16";"hy-test/sam"
"regulation of cell cycle process";594;102;145;334;"GO:0010564";18479341;317619;18161722;26219;2224;0;0;0;1;0;1;"<1.11E-16";"hy-test/sam"
"regulation of mitotic cell cycle";415;70;105;235;"GO:0007346";18479341;317619;18161722;6399;321;1,85698426043747e-61;5,90520994819117e-59;7,4749493015078e-61;1;0;1;"<1.11E-16";"hy-test/sam"
"cell migration";1373;148;377;708;"GO:0016477";18479341;317619;18161722;230298;14778;0;0;0;0;1;1;"<1.11E-16";"mod t-test/sam"
"cell motility";1542;164;415;777;"GO:0048870";18479341;317619;18161722;178926;10507;0;0;0;0;1;1;"<1.11E-16";"mod t-test/sam"
"extracellular matrix organization";284;35;123;167;"GO:0030198";18479341;317619;18161722;5924;181;5,62244042907987e-13;1,7879360564474e-10;1,73586024897806e-12;0;1;1;"1.79E-10";"mod t-test/sam"
"localization of cell";1542;164;415;777;"GO:0051674";18479341;317619;18161722;119757;3443;2,82613003408599e-175;8,98709350839346e-173;1,42652277911007e-174;0;1;1;"<1.11E-16";"mod t-test/sam"
"positive regulation of cell migration";497;66;153;271;"GO:0030335";18479341;317619;18161722;5709;731;0;0;0;0;1;1;"<1.11E-16";"mod t-test/sam"
"positive regulation of cell motility";519;68;162;284;"GO:2000147";18479341;317619;18161722;4396;549;1,66795309627563e-281;5,3040908461565e-279;9,47159079670803e-281;0;1;1;"<1.11E-16";"mod t-test/sam"
"positive regulation of cellular component movement";531;70;168;291;"GO:0051272";18479341;317619;18161722;119;11;7,41825784359582e-06;0,00235900599426347;2,10625535202096e-05;0;1;1;"2.36E-03";"mod t-test/sam"
"positive regulation of cellular process";5208;463;1122;2468;"GO:0048522";18479341;317619;18161722;36937;3345;0;0;0;0;1;1;"<1.11E-16";"mod t-test/sam"
"positive regulation of locomotion";533;68;166;292;"GO:0040017";18479341;317619;18161722;3832;487;2,18679802963864e-253;6,95401773425087e-251;1,19896857487084e-252;0;1;1;"<1.11E-16";"mod t-test/sam"
"positive regulation of transferase activity";537;69;147;292;"GO:0051347";18479341;317619;18161722;5762;712;0;0;0;0;1;1;"<1.11E-16";"mod t-test/sam"
"regulation of cell migration";856;99;245;444;"GO:0030334";18479341;317619;18161722;73057;6680;0;0;0;0;1;1;"<1.11E-16";"mod t-test/sam"
"regulation of cell motility";910;105;263;475;"GO:2000145";18479341;317619;18161722;57574;5168;0;0;0;0;1;1;"<1.11E-16";"mod t-test/sam"
"regulation of cellular component movement";981;112;281;505;"GO:0051270";18479341;317619;18161722;1616;132;1,0922141566089e-47;3,47324101801632e-45;4,13481073573371e-47;0;1;1;"<1.11E-16";"mod t-test/sam"
"regulation of kinase activity";724;87;196;386;"GO:0043549";18479341;317619;18161722;75264;3998;0;0;0;0;1;1;"<1.11E-16";"mod t-test/sam"
"regulation of locomotion";948;111;274;497;"GO:0040012";18479341;317619;18161722;50656;4626;0;0;0;0;1;1;"<1.11E-16";"mod t-test/sam"
"angiogenesis";493;72;171;279;"GO:0001525";18479341;317619;18161722;112126;7094;0;0;0;1;1;1;"<1.11E-16";"all"
"cell division";594;122;162;344;"GO:0051301";18479341;317619;18161722;445944;16581;0;0;0;1;1;1;"<1.11E-16";"all"
"locomotion";1702;184;469;855;"GO:0040011";18479341;317619;18161722;223311;9223;0;0;0;1;1;1;"<1.11E-16";"all"
"mitotic cell cycle";833;152;217;464;"GO:0000278";18479341;317619;18161722;21486;1045;4,0255488651263e-186;1,28012453911016e-183;2,06471699856478e-185;1;1;1;"<1.11E-16";"all"
"mitotic cell cycle process";681;132;181;381;"GO:1903047";18479341;317619;18161722;2169;74;5,41886236139582e-08;1,72319823092387e-05;1,64114117230845e-07;1;1;1;"1.72E-05";"all"
"movement of cell or subcellular component";1949;205;509;958;"GO:0006928";18479341;317619;18161722;189472;11596;0;0;0;1;1;1;"<1.11E-16";"all"
"regulation of transferase activity";833;103;216;449;"GO:0051338";18479341;317619;18161722;78011;3925;0;0;0;1;1;1;"<1.11E-16";"all"
"vasculature development";689;94;234;386;"GO:0001944";18479341;317619;18161722;27830;677;3,30042202582758e-18;1,04953420421317e-15;1,06013555981128e-17;1;1;1;"1.05E-15";"all"
