"";"x"
"ENSG00000248144";0
"ENSG00000197894";0
"ENSG00000147576";0
"ENSG00000182551";1
"ENSG00000181092";0
"ENSG00000159346";0
"ENSG00000006831";1
"ENSG00000156110";1
"ENSG00000128165";0
"ENSG00000148926";0
"ENSG00000101544";1
"ENSG00000101126";0
"ENSG00000163485";1
"ENSG00000128271";0
"ENSG00000170425";1
"ENSG00000181915";1
"ENSG00000159322";0
"ENSG00000153531";0
"ENSG00000116863";0
"ENSG00000144843";0
"ENSG00000170214";1
"ENSG00000171873";1
"ENSG00000150594";0
"ENSG00000274286";0
"ENSG00000184160";1
"ENSG00000043591";0
"ENSG00000169252";0
"ENSG00000173020";1
"ENSG00000100077";0
"ENSG00000130706";0
"ENSG00000239900";1
"ENSG00000185100";1
"ENSG00000035687";0
"ENSG00000106624";0
"ENSG00000139154";0
"ENSG00000181026";1
"ENSG00000104964";1
"ENSG00000157510";0
"ENSG00000169129";0
"ENSG00000196526";1
"ENSG00000172493";0
"ENSG00000155966";0
"ENSG00000144218";1
"ENSG00000072364";1
"ENSG00000141385";1
"ENSG00000183077";1
"ENSG00000119844";0
"ENSG00000187479";0,12
"ENSG00000157985";1
"ENSG00000135439";1
"ENSG00000133612";1
"ENSG00000188234";0
"ENSG00000172650";1
"ENSG00000204149";1
"ENSG00000038002";0
"ENSG00000165923";1
"ENSG00000146856";1
"ENSG00000186094";1
"ENSG00000084693";1
"ENSG00000204305";0,03
"ENSG00000173744";1
"ENSG00000106351";0
"ENSG00000164252";1
"ENSG00000006530";1
"ENSG00000162688";1
"ENSG00000116771";0
"ENSG00000204310";1
"ENSG00000169692";0
"ENSG00000160216";0,07
"ENSG00000026652";0
"ENSG00000155189";1
"ENSG00000158669";1
"ENSG00000138678";0
"ENSG00000188266";1
"ENSG00000018510";1
"ENSG00000106541";1
"ENSG00000173467";1
"ENSG00000188157";1
"ENSG00000135049";1
"ENSG00000144891";0
"ENSG00000177674";0
"ENSG00000135744";0,07
"ENSG00000175309";0
"ENSG00000153207";0
"ENSG00000168710";1
"ENSG00000158467";1
"ENSG00000101444";0
"ENSG00000126705";0
"ENSG00000135541";1
"ENSG00000185567";1
"ENSG00000124942";0
"ENSG00000063438";0
"ENSG00000106546";0
"ENSG00000100591";0
"ENSG00000173209";0
"ENSG00000186063";1
"ENSG00000126878";0
"ENSG00000204472";1
"ENSG00000156709";0
"ENSG00000042286";0
"ENSG00000183773";0
"ENSG00000146416";0,21
"ENSG00000176092";0
"ENSG00000112297";0
"ENSG00000163568";0
"ENSG00000164022";1
"ENSG00000106305";0
"ENSG00000110711";1
"ENSG00000196581";1
"ENSG00000106992";1
"ENSG00000004455";1
"ENSG00000162433";0
"ENSG00000147853";0
"ENSG00000154027";0
"ENSG00000140057";1
"ENSG00000108599";1
"ENSG00000023516";0
"ENSG00000131016";0
"ENSG00000170776";0
"ENSG00000121057";0
"ENSG00000241978";0
"ENSG00000111254";1
"ENSG00000179841";0
"ENSG00000151320";0
"ENSG00000118507";0
"ENSG00000011243";1
"ENSG00000105127";1
"ENSG00000127914";1
"ENSG00000155085";1
"ENSG00000174574";1
"ENSG00000135334";0,96
"ENSG00000162641";1
"ENSG00000106948";1
"ENSG00000117448";0
"ENSG00000085662";0
"ENSG00000187134";0
"ENSG00000151632";0
"ENSG00000196139";0
"ENSG00000165568";1
"ENSG00000053371";1
"ENSG00000162482";0
"ENSG00000211454";0
"ENSG00000204673";0
"ENSG00000142208";0
"ENSG00000105221";1
"ENSG00000117020";0
"ENSG00000166971";1
"ENSG00000148218";0
"ENSG00000023330";1
"ENSG00000163631";0
"ENSG00000170017";1
"ENSG00000161618";1
"ENSG00000059573";0
"ENSG00000165092";0
"ENSG00000128918";0
"ENSG00000184254";0
"ENSG00000137124";0
"ENSG00000144908";0
"ENSG00000136010";0,07
"ENSG00000111275";0
"ENSG00000072210";0
"ENSG00000006534";1
"ENSG00000132746";1
"ENSG00000159423";0,58
"ENSG00000112294";1
"ENSG00000119711";0,76
"ENSG00000164904";0
"ENSG00000118514";1
"ENSG00000143149";1
"ENSG00000149925";0
"ENSG00000136872";1
"ENSG00000109107";0
"ENSG00000175548";1
"ENSG00000139133";0
"ENSG00000253710";0
"ENSG00000182858";0,21
"ENSG00000101901";1
"ENSG00000172339";0
"ENSG00000189366";0
"ENSG00000033011";0
"ENSG00000119523";1
"ENSG00000214160";0
"ENSG00000120697";1
"ENSG00000088035";0
"ENSG00000159063";0
"ENSG00000086848";1
"ENSG00000189046";1
"ENSG00000166199";1
"ENSG00000160993";0
"ENSG00000091542";1
"ENSG00000239382";0
"ENSG00000125652";1
"ENSG00000137760";1
"ENSG00000171094";0
"ENSG00000116127";1
"ENSG00000108839";1
"ENSG00000179593";1
"ENSG00000161905";1
"ENSG00000132965";1
"ENSG00000012779";1
"ENSG00000179148";1
"ENSG00000073331";0
"ENSG00000198796";0
"ENSG00000136383";0,04
"ENSG00000162551";0
"ENSG00000178038";0
"ENSG00000155754";1
"ENSG00000155749";1
"ENSG00000155755";0
"ENSG00000138380";0
"ENSG00000003393";1
"ENSG00000156150";1
"ENSG00000242110";0
"ENSG00000106927";1
"ENSG00000110497";1
"ENSG00000123505";1
"ENSG00000139344";1
"ENSG00000162066";0
"ENSG00000159461";1
"ENSG00000160593";1
"ENSG00000181754";0
"ENSG00000139211";0
"ENSG00000176020";0
"ENSG00000144233";1
"ENSG00000101935";0
"ENSG00000151743";1
"ENSG00000166025";0
"ENSG00000114019";0
"ENSG00000126016";0
"ENSG00000116337";1
"ENSG00000133805";0
"ENSG00000078053";1
"ENSG00000145020";0
"ENSG00000240038";0
"ENSG00000174945";0
"ENSG00000196704";0
"ENSG00000164162";1
"ENSG00000141552";0
"ENSG00000129055";1
"ENSG00000166295";0
"ENSG00000153107";1
"ENSG00000053900";0
"ENSG00000089053";1
"ENSG00000013523";0,06
"ENSG00000174606";0,14
"ENSG00000154188";0
"ENSG00000091879";1
"ENSG00000116194";0
"ENSG00000136859";0
"ENSG00000167772";0
"ENSG00000214274";0
"ENSG00000029534";1
"ENSG00000145362";0
"ENSG00000151150";1
"ENSG00000151687";0
"ENSG00000166839";0
"ENSG00000185722";0
"ENSG00000254996";1
"ENSG00000131503";1
"ENSG00000154122";1
"ENSG00000001629";1
"ENSG00000170209";0
"ENSG00000160117";1
"ENSG00000176915";1
"ENSG00000144504";1
"ENSG00000106524";0
"ENSG00000164331";1
"ENSG00000088448";1
"ENSG00000167522";0
"ENSG00000101745";0
"ENSG00000076513";0
"ENSG00000198720";0
"ENSG00000118454";1
"ENSG00000172932";0
"ENSG00000134461";1
"ENSG00000132466";1
"ENSG00000276203";0
"ENSG00000152766";0
"ENSG00000163126";1
"ENSG00000089847";1
"ENSG00000107890";1
"ENSG00000105186";1
"ENSG00000206560";1
"ENSG00000154065";0
"ENSG00000133302";0
"ENSG00000272031";0,05
"ENSG00000198483";0
"ENSG00000196912";1
"ENSG00000135976";0
"ENSG00000186352";1
"ENSG00000213337";0
"ENSG00000154945";0
"ENSG00000137494";1
"ENSG00000198944";1
"ENSG00000065413";1
"ENSG00000183831";1
"ENSG00000186106";1
"ENSG00000168876";1
"ENSG00000151458";0,4
"ENSG00000139645";1
"ENSG00000144031";0
"ENSG00000100124";0
"ENSG00000186212";1
"ENSG00000198142";1
"ENSG00000187808";0
"ENSG00000132623";0
"ENSG00000135299";0
"ENSG00000156381";1
"ENSG00000064999";0
"ENSG00000185046";1
"ENSG00000168096";1
"ENSG00000165138";0,07
"ENSG00000163516";1
"ENSG00000011426";0
"ENSG00000160746";1
"ENSG00000131620";0
"ENSG00000047617";0
"ENSG00000134343";0
"ENSG00000151572";1
"ENSG00000171714";0,32
"ENSG00000177119";0
"ENSG00000146205";0
"ENSG00000074855";1
"ENSG00000185101";0
"ENSG00000140350";0
"ENSG00000136938";1
"ENSG00000143401";1
"ENSG00000166825";0
"ENSG00000169604";1
"ENSG00000163297";0
"ENSG00000172671";1
"ENSG00000122359";0
"ENSG00000104537";1
"ENSG00000135046";0
"ENSG00000182718";1
"ENSG00000138772";0
"ENSG00000196975";1
"ENSG00000164111";0,62
"ENSG00000197043";1
"ENSG00000138279";1
"ENSG00000265190";0
"ENSG00000143412";0
"ENSG00000136250";1
"ENSG00000131480";0
"ENSG00000131471";0
"ENSG00000138356";0
"ENSG00000138660";0
"ENSG00000100280";1
"ENSG00000166747";1
"ENSG00000213983";1
"ENSG00000072958";1
"ENSG00000129354";0
"ENSG00000182287";1
"ENSG00000152056";0
"ENSG00000196961";0
"ENSG00000183020";1
"ENSG00000006125";1
"ENSG00000161203";0
"ENSG00000042753";0
"ENSG00000132842";0
"ENSG00000103723";1
"ENSG00000065000";0
"ENSG00000185009";1
"ENSG00000070718";1
"ENSG00000177879";1
"ENSG00000157823";1
"ENSG00000134262";1
"ENSG00000081014";1
"ENSG00000221838";0
"ENSG00000100478";1
"ENSG00000120868";1
"ENSG00000107282";0
"ENSG00000034053";1
"ENSG00000011132";0
"ENSG00000077420";0
"ENSG00000166313";0
"ENSG00000163697";1
"ENSG00000113108";0
"ENSG00000115266";0
"ENSG00000198768";0
"ENSG00000154856";0
"ENSG00000134982";1
"ENSG00000164062";0
"ENSG00000100823";1
"ENSG00000169188";0
"ENSG00000117362";0
"ENSG00000138613";0
"ENSG00000166181";1
"ENSG00000149089";1
"ENSG00000175279";0
"ENSG00000134817";1
"ENSG00000171388";1
"ENSG00000105290";0
"ENSG00000084234";1
"ENSG00000163382";0
"ENSG00000184730";0
"ENSG00000128383";0
"ENSG00000179750";0
"ENSG00000244509";0
"ENSG00000243811";1
"ENSG00000128394";1
"ENSG00000239713";1
"ENSG00000100298";0
"ENSG00000084674";0
"ENSG00000130208";0
"ENSG00000234906";0
"ENSG00000189058";0
"ENSG00000130203";1
"ENSG00000100342";1
"ENSG00000128335";1
"ENSG00000128284";0
"ENSG00000100336";1
"ENSG00000221963";1
"ENSG00000178878";0
"ENSG00000204444";1
"ENSG00000155008";1
"ENSG00000184831";0
"ENSG00000062725";1
"ENSG00000157500";1
"ENSG00000136044";0
"ENSG00000142192";0
"ENSG00000198931";1
"ENSG00000137074";0
"ENSG00000178301";1
"ENSG00000240583";0
"ENSG00000165272";1
"ENSG00000171885";0
"ENSG00000161798";0
"ENSG00000086159";1
"ENSG00000165269";0
"ENSG00000103569";0,02
"ENSG00000172901";0
"ENSG00000021776";1
"ENSG00000078061";1
"ENSG00000186635";0
"ENSG00000047365";1
"ENSG00000120318";0
"ENSG00000095139";1
"ENSG00000198576";0
"ENSG00000109321";0,83
"ENSG00000143761";0
"ENSG00000134287";0
"ENSG00000168374";0
"ENSG00000004059";0
"ENSG00000165527";0
"ENSG00000101199";0
"ENSG00000149182";1
"ENSG00000242247";1
"ENSG00000066777";0
"ENSG00000164144";1
"ENSG00000132254";0,02
"ENSG00000101246";1
"ENSG00000081181";1
"ENSG00000134884";0
"ENSG00000071205";0
"ENSG00000198826";0
"ENSG00000187951";0
"ENSG00000165322";0
"ENSG00000075884";1
"ENSG00000140750";0,44
"ENSG00000146376";1
"ENSG00000213390";0
"ENSG00000175220";1
"ENSG00000137727";0
"ENSG00000107863";0
"ENSG00000128805";0,29
"ENSG00000275832";0
"ENSG00000138639";0
"ENSG00000163219";0
"ENSG00000145819";0
"ENSG00000159314";1
"ENSG00000088756";1
"ENSG00000137962";0
"ENSG00000186517";1
"ENSG00000031081";0
"ENSG00000134909";0,13
"ENSG00000004777";1
"ENSG00000147799";0
"ENSG00000165895";0
"ENSG00000089820";1
"ENSG00000100852";0
"ENSG00000047648";0
"ENSG00000241484";0,08
"ENSG00000123329";1
"ENSG00000141522";0
"ENSG00000111348";1
"ENSG00000074964";0,49
"ENSG00000104728";0
"ENSG00000132694";0
"ENSG00000196914";1
"ENSG00000198844";0
"ENSG00000130762";0
"ENSG00000110237";0
"ENSG00000104880";0,11
"ENSG00000142632";1
"ENSG00000076928";1
"ENSG00000116584";1
"ENSG00000214694";1
"ENSG00000213214";1
"ENSG00000183111";0
"ENSG00000236699";1
"ENSG00000163947";1
"ENSG00000136002";0
"ENSG00000050327";1
"ENSG00000129675";0
"ENSG00000102606";0
"ENSG00000131089";0
"ENSG00000117713";1
"ENSG00000189079";1
"ENSG00000116017";0
"ENSG00000179361";0
"ENSG00000032219";0
"ENSG00000054267";1
"ENSG00000196843";0
"ENSG00000150347";0
"ENSG00000166233";1
"ENSG00000177479";0
"ENSG00000175414";0,07
"ENSG00000152213";0
"ENSG00000169379";1
"ENSG00000185305";1
"ENSG00000214087";1
"ENSG00000185829";1
"ENSG00000120805";0
"ENSG00000213465";0,32
"ENSG00000138175";0
"ENSG00000122644";0
"ENSG00000188042";0
"ENSG00000175906";1
"ENSG00000162980";1
"ENSG00000165997";1
"ENSG00000170540";0
"ENSG00000182196";1
"ENSG00000144746";0,07
"ENSG00000177917";1
"ENSG00000113966";0,29
"ENSG00000143862";0
"ENSG00000134108";0
"ENSG00000196503";1
"ENSG00000170632";0
"ENSG00000104442";0
"ENSG00000118690";1
"ENSG00000169126";1
"ENSG00000140691";1
"ENSG00000105676";0
"ENSG00000125449";0
"ENSG00000114098";1
"ENSG00000135931";0
"ENSG00000126947";0
"ENSG00000184867";1
"ENSG00000102401";1
"ENSG00000125962";1
"ENSG00000198960";1
"ENSG00000172379";0
"ENSG00000029153";0,02
"ENSG00000133794";1
"ENSG00000143437";0
"ENSG00000241685";1
"ENSG00000130429";0
"ENSG00000163466";0
"ENSG00000111229";0
"ENSG00000241553";0
"ENSG00000136950";0
"ENSG00000162704";0
"ENSG00000184378";1
"ENSG00000128989";1
"ENSG00000137486";0
"ENSG00000141480";1
"ENSG00000197070";0
"ENSG00000105643";0
"ENSG00000113369";0
"ENSG00000140450";0
"ENSG00000100299";1
"ENSG00000113273";0
"ENSG00000006756";1
"ENSG00000157399";0,05
"ENSG00000141337";1
"ENSG00000183876";0
"ENSG00000180801";1
"ENSG00000164291";1
"ENSG00000167311";0
"ENSG00000117407";0
"ENSG00000099889";1
"ENSG00000169083";1
"ENSG00000214435";1
"ENSG00000104763";1
"ENSG00000204147";0
"ENSG00000166250";0
"ENSG00000153317";1
"ENSG00000151693";1
"ENSG00000088280";1
"ENSG00000196372";0,3
"ENSG00000239388";1
"ENSG00000161664";0
"ENSG00000065802";0
"ENSG00000100628";1
"ENSG00000115239";1
"ENSG00000148331";1
"ENSG00000183475";1
"ENSG00000177981";1
"ENSG00000102048";1
"ENSG00000138303";0
"ENSG00000100325";1
"ENSG00000112249";0,3
"ENSG00000183734";0
"ENSG00000111875";1
"ENSG00000105011";0
"ENSG00000141505";1
"ENSG00000161944";1
"ENSG00000116539";1
"ENSG00000129691";1
"ENSG00000126522";0,24
"ENSG00000169093";1
"ENSG00000198356";0
"ENSG00000138381";1
"ENSG00000070669";0
"ENSG00000108381";0
"ENSG00000174939";0,21
"ENSG00000128203";0
"ENSG00000198363";0
"ENSG00000066279";0
"ENSG00000106819";0
"ENSG00000244617";0
"ENSG00000169696";0
"ENSG00000162174";1
"ENSG00000130707";0,43
"ENSG00000034533";1
"ENSG00000152092";0
"ENSG00000148219";1
"ENSG00000171456";0
"ENSG00000143970";1
"ENSG00000141431";0
"ENSG00000138138";1
"ENSG00000119778";0,66
"ENSG00000156802";0
"ENSG00000197785";0
"ENSG00000160072";1
"ENSG00000215915";1
"ENSG00000176208";0
"ENSG00000107669";1
"ENSG00000123268";1
"ENSG00000115966";1
"ENSG00000162772";0
"ENSG00000128272";0,39
"ENSG00000169136";0
"ENSG00000213676";0
"ENSG00000118217";0,04
"ENSG00000166669";0
"ENSG00000171681";1
"ENSG00000170653";0
"ENSG00000152348";1
"ENSG00000145782";1
"ENSG00000085978";0
"ENSG00000168010";1
"ENSG00000110046";1
"ENSG00000066739";0
"ENSG00000144848";0
"ENSG00000101844";0
"ENSG00000168397";1
"ENSG00000125703";1
"ENSG00000130734";0
"ENSG00000057663";1
"ENSG00000197548";0,11
"ENSG00000198925";1
"ENSG00000181652";0
"ENSG00000142102";1
"ENSG00000138363";0
"ENSG00000198513";0
"ENSG00000119787";0
"ENSG00000184743";1
"ENSG00000166454";0
"ENSG00000149311";0
"ENSG00000111676";0
"ENSG00000168874";0
"ENSG00000177556";0
"ENSG00000206190";1
"ENSG00000145246";0
"ENSG00000068650";0
"ENSG00000058063";1
"ENSG00000101974";0,02
"ENSG00000105726";0
"ENSG00000159363";0
"ENSG00000133657";1
"ENSG00000127249";0,36
"ENSG00000163399";1
"ENSG00000018625";0
"ENSG00000105409";0
"ENSG00000143153";1
"ENSG00000129244";0
"ENSG00000069849";1
"ENSG00000196296";0,03
"ENSG00000174437";1
"ENSG00000074370";0
"ENSG00000070961";0
"ENSG00000157087";1
"ENSG00000058668";0
"ENSG00000017260";1
"ENSG00000064270";0
"ENSG00000152234";1
"ENSG00000110955";1
"ENSG00000165629";0
"ENSG00000099624";1
"ENSG00000180389";0
"ENSG00000124172";0,03
"ENSG00000116459";1
"ENSG00000159199";0
"ENSG00000135390";1
"ENSG00000154518";1
"ENSG00000167863";0
"ENSG00000169020";0
"ENSG00000241468";0
"ENSG00000154723";1
"ENSG00000167283";1
"ENSG00000241837";1
"ENSG00000105341";1
"ENSG00000125375";1
"ENSG00000205464";1
"ENSG00000071553";0
"ENSG00000182220";0
"ENSG00000033627";1
"ENSG00000185344";1
"ENSG00000105929";1
"ENSG00000117410";0
"ENSG00000185883";0
"ENSG00000159720";1
"ENSG00000113732";0,03
"ENSG00000171130";0
"ENSG00000114573";0
"ENSG00000116039";0
"ENSG00000147416";1
"ENSG00000155097";0,44
"ENSG00000143882";1
"ENSG00000100554";0
"ENSG00000131100";1
"ENSG00000250565";1
"ENSG00000128524";0
"ENSG00000136888";0
"ENSG00000213760";0,04
"ENSG00000047249";0,01
"ENSG00000165240";1
"ENSG00000123191";0,02
"ENSG00000124406";0
"ENSG00000132932";1
"ENSG00000081923";0
"ENSG00000143515";0
"ENSG00000130270";0
"ENSG00000104043";0
"ENSG00000054793";0,02
"ENSG00000166377";0
"ENSG00000123472";1
"ENSG00000171953";0
"ENSG00000134146";1
"ENSG00000130770";0
"ENSG00000164053";0
"ENSG00000107518";1
"ENSG00000088812";1
"ENSG00000085224";1
"ENSG00000175054";1
"ENSG00000130638";1
"ENSG00000224470";0
"ENSG00000124788";1
"ENSG00000168488";0
"ENSG00000204842";1
"ENSG00000066427";0
"ENSG00000146776";1
"ENSG00000162650";1
"ENSG00000253719";1
"ENSG00000087152";0
"ENSG00000163635";0
"ENSG00000148090";0
"ENSG00000115307";0
"ENSG00000175756";0,04
"ENSG00000087586";0
"ENSG00000178999";0
"ENSG00000105146";1
"ENSG00000158321";1
"ENSG00000169857";1
"ENSG00000135407";1
"ENSG00000105778";0
"ENSG00000119986";0
"ENSG00000166148";0,77
"ENSG00000126895";0
"ENSG00000103126";0
"ENSG00000168646";0
"ENSG00000167601";0
"ENSG00000160862";1
"ENSG00000141577";0,02
"ENSG00000163512";0
"ENSG00000155096";0,11
"ENSG00000166710";1
"ENSG00000169255";0
"ENSG00000162885";0
"ENSG00000162630";1
"ENSG00000226936";1
"ENSG00000183778";1
"ENSG00000187676";1
"ENSG00000109956";0
"ENSG00000112309";1
"ENSG00000149541";0
"ENSG00000174684";0,21
"ENSG00000170340";1
"ENSG00000179913";0,04
"ENSG00000176383";0
"ENSG00000176597";0
"ENSG00000156966";1
"ENSG00000177191";1
"ENSG00000237172";0,36
"ENSG00000175711";0
"ENSG00000135454";0
"ENSG00000086062";0
"ENSG00000117411";0
"ENSG00000158850";0
"ENSG00000121578";0
"ENSG00000158470";1
"ENSG00000118276";0
"ENSG00000027847";0
"ENSG00000108641";1
"ENSG00000123810";0
"ENSG00000164929";0
"ENSG00000186318";0
"ENSG00000182240";1
"ENSG00000156273";1
"ENSG00000112182";0
"ENSG00000002330";1
"ENSG00000107262";1
"ENSG00000112208";1
"ENSG00000151929";1
"ENSG00000156735";1
"ENSG00000166170";0
"ENSG00000266074";0,02
"ENSG00000140320";1
"ENSG00000181790";0,94
"ENSG00000121753";0
"ENSG00000135298";0
"ENSG00000006453";0
"ENSG00000128298";1
"ENSG00000175866";0
"ENSG00000007516";1
"ENSG00000030110";0
"ENSG00000095739";1
"ENSG00000175334";0
"ENSG00000153064";1
"ENSG00000172530";1
"ENSG00000163930";1
"ENSG00000138376";0
"ENSG00000043039";0
"ENSG00000176788";0
"ENSG00000215425";0,07
"ENSG00000130723";0,04
"ENSG00000117523";1
"ENSG00000226618";1
"ENSG00000204463";1
"ENSG00000236011";1
"ENSG00000204427";0
"ENSG00000168062";0
"ENSG00000123685";1
"ENSG00000156127";0
"ENSG00000087088";0
"ENSG00000198604";0
"ENSG00000009954";0
"ENSG00000076108";1
"ENSG00000123636";0
"ENSG00000105327";0
"ENSG00000129151";0
"ENSG00000179941";0
"ENSG00000181004";1
"ENSG00000174483";1
"ENSG00000125124";0
"ENSG00000140463";1
"ENSG00000163093";1
"ENSG00000138686";0
"ENSG00000122507";1
"ENSG00000114439";0,58
"ENSG00000187244";1
"ENSG00000132692";0,14
"ENSG00000075790";1
"ENSG00000185825";1
